# started on Thu Feb 29 14:30:46 2024

#           time             counts unit events
     0.001171705      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                   
     0.001171705      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                   
     0.001171705      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                   
     0.001171705      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                   
     0.002708980      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.002708980      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.002708980      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.002708980      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.003915919      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.003915919      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.003915919      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.003915919      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.005135593      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.005135593      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.005135593      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.005135593      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.006337823      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.006337823      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.006337823      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.006337823      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.007490621      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.007490621      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.007490621      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.007490621      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.008681252      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.008681252      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.008681252      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.008681252      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.009899948      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.009899948      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.009899948      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.009899948      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.011078735      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.011078735      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.011078735      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.011078735      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.012256305      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.012256305      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.012256305      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.012256305      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.013437180      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.013437180      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.013437180      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.013437180      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.014626082      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.014626082      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.014626082      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.014626082      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.015767823      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.015767823      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.015767823      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.015767823      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.016948750      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.016948750      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.016948750      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.016948750      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.018127120      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.018127120      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.018127120      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.018127120      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.019312791      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.019312791      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.019312791      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.019312791      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.020513678      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.020513678      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.020513678      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.020513678      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.021745690      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.021745690      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.021745690      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.021745690      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.022924160      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.022924160      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.022924160      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.022924160      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.024093958      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.024093958      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.024093958      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.024093958      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.025275972      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.025275972      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.025275972      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.025275972      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.026466800      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.026466800      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.026466800      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.026466800      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.027611467      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.027611467      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.027611467      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.027611467      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.028803310      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.028803310      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.028803310      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.028803310      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.029980172      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.029980172      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.029980172      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.029980172      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
#           time             counts unit events
     0.031164479      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.031164479      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.031164479      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.031164479      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.032400954      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.032400954      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.032400954      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.032400954      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.033586213      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.033586213      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.033586213      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.033586213      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.034760356      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.034760356      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.034760356      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.034760356      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.035937304      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.035937304      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.035937304      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.035937304      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.037129183      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.037129183      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.037129183      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.037129183      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.038323726      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.038323726      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.038323726      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.038323726      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.039432547      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.039432547      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.039432547      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.039432547      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.040613789      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.040613789      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.040613789      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.040613789      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.041842411      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.041842411      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.041842411      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.041842411      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.043020442      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.043020442      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.043020442      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.043020442      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.044191841      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.044191841      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.044191841      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.044191841      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.045371826      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.045371826      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.045371826      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.045371826      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
