# started on Thu Feb 29 14:31:29 2024

#           time             counts unit events
     0.001170244      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                   
     0.001170244      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                   
     0.001170244      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                   
     0.001170244      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                   
     0.002703582      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.002703582      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.002703582      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.002703582      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.003907628      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.003907628      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.003907628      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.003907628      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.005116179      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.005116179      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.005116179      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.005116179      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.006305075      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.006305075      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.006305075      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
     0.006305075      <not counted>      cpu_core/event=0xc2,umask=0x02,inv=1,cmask=0x01/u                                     (0,00%)
     0.007489095      <not counted>      cpu_core/event=0x2e,umask=0x41/u                                     (0,00%)
     0.007489095      <not counted>      cpu_core/event=0x24,umask=0xc1/u                                     (0,00%)
     0.007489095      <not counted>      cpu_core/event=0xd1,umask=0x01/u                                     (0,00%)
